addr,p2p_benefit_zar,utility_cost_zar_est,net_outcome_zar_est,demand_kwh_est,p2p_recv_kwh,grid_import_kwh_est
YJ63FV6L3KCBKROTXFFSAS7JMKU4KSV425OKDNKEUM6NGTO67N2JADFWUE,36.04518797,0.0,36.04518797,0.0,0.0,0.0
BOJQS7QV4H25LHXC7OO6F3ZWCQLF7KJCMLQDQV6PEO66YLUOWY4GDFAN3I,3.4731533000000003,0.28759162303664937,3.185561676963351,2.36586387434555,2.27,0.09586387434554978
GHJUTLG2UR6OFTJLZABZQ3P3JWHP6CZGQ5MGJSTG3BZU2MLN3VCMPOHOYY,10.79276154,0.0,10.79276154,0.0,0.0,0.0
MJMZZ5PWLPTLGHOFNNDPDW7Y4H6DYKM6CLTDSYFITRENOOHEHNCDJGMZTI,8.18931482,0.0,8.18931482,0.0,0.0,0.0
IHBASPBZHPT3UDOK62WG5G2UWTOHRKMP5S43DTFOLKXPZKWADONVZCJZH4,5.48418094,1.803437018786572,3.680743921213428,4.181145672928857,3.58,0.6011456729288573
TEQ7VD5224ZN3EF4CB3O3LQKQX5LIUA34UCEJQSEFPVSCNFHDTT5AMIS3U,2.62059513,0.0,2.62059513,0.0,0.0,0.0
CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,2.5653886299999997,0.0,2.5653886299999997,0.0,0.0,0.0
DOAO2K7EKVOVKQ3YOEK42AZOHEDMZOXZDHODLY6ZC7UCXA45A2P4BLEH7M,1.03047004,0.0,1.03047004,0.0,0.0,0.0
EYHBUXR5WOSB2FDT2UABTV3AUWWEZ2UCLNXSFEBUZDFP7OBQLK246ZHYF4,0.6833708,0.0,0.6833708,0.0,0.0,0.0
H6LO6BTMDTHMPXPXVQBAUGSNZOYYUAFUXRILCERLQKPLLYEYYOF75NX6MY,3.71298161,0.20701570680628267,3.5059659031937174,2.4290052356020944,2.36,0.06900523560209422
LDDCOBDKFFB6ZJC4B7X63E3LKMNQDZQPH23WE4RVWNKQHYINJPK76PHGNY,5.90590854,4.496059439482601,1.4098491005173992,5.338686479827534,3.84,1.4986864798275337
G2TIMD2NRXOC4QTNUCFMN67IS2O3LVBDRMCG5QCT2YU6Y65PFAIAV4TK6U,1.8832456499999999,0.0,1.8832456499999999,0.0,0.0,0.0
3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,6.283723660000001,1.4867947336002465,4.7969289263997545,4.495598244533416,4.0,0.4955982445334155
NWP3WWLTQZ3YTBZWUFO2EGB4Y5BRI5E5IRD4ITJMFNBXQSGQDGJ2OKGHIQ,0.7974224999999999,0.0,0.7974224999999999,0.0,0.0,0.0
ORGRTTOHWS6FIGVTDIQIYWA6JD7FCLZHXWRGFNDL5HQ5DZVUKUFUC2GVW4,6.101700620000001,4.58417231290422,1.5175283070957812,5.51805743763474,3.99,1.5280574376347398
GQJ3IAAXUPNJ6ROBA2JQ72F3S2AGYCMURC5JZEI5CNXFISTOLPEJHGN3B4,1.4217454999999999,0.0,1.4217454999999999,0.0,0.0,0.0
XCH3Q7QFM72YZIAXMY5OT4265Q4LONZ756UZCUHL5S4ZIX7NILDHWC7ZHU,0.7917455,0.0,0.7917455,0.0,0.0,0.0
GWEQXNXLSQCB6AWLXCU54BNSCTWK3UK574CLEWBFQUT65HCLO5DMT6YEGQ,5.79609382,1.3443316907914993,4.451762129208501,4.1381105635971664,3.69,0.44811056359716644
YBKDXSGKLFNDU2RYZY73L4NAMTUPQBVFGZVBJKAXAI7JVUSSNWKISKMXFI,1.38803199,0.0,1.38803199,0.0,0.0,0.0
OSM4FVXIZ7QCJOUN53IO5JLFINVISJGVXP2SK674HMG6MVFSWWOBRJXJWQ,0.8274225,0.0,0.8274225,0.0,0.0,0.0
ZOHS42RCMLIYQTJ4QVTD5VAFWDRZAHRET2ZAAEXMN6EPXMKDBBJEOUICKE,5.72083681,4.683437018786574,1.037399791213426,5.311145672928858,3.75,1.561145672928858
ZUWWQX74E43WTEEQMGQECIMOKQAJSSQYK2GCGKKCPIBBC2R3UHDVPQFOIU,3.8032056200000004,0.36816753926701606,3.4350380807329843,2.5427225130890054,2.42,0.12272251308900536
RSPV6P6XJMIZUF4K26B5GSIRCC33K5Z23RNVTM4FVJNHEKIHQK63AN7GJQ,6.31334395,4.794012935016939,1.5193310149830612,5.668004311672313,4.07,1.598004311672313
HYJNPKD5XXIW6HOVGVWBLKYQB5GQKQALZRJHNPESDZ5SQIEDJAEJU27TOU,0.12,0.0,0.12,0.0,0.0,0.0
67ZYIG2F7HC2YGI6MGQ2DBKWQRFQHFDQGXRMLOY5FVI2RYPWG4B5PNNI7I,4.2835424,0.880673698798891,3.402868701201109,3.0735578995996304,2.7800000000000002,0.29355789959963036
JZG57OVKRVEJSFTJLM5IY5JZJCJLGX64TXQCVQLBLPR3ZWXAARNUKFE244,6.29447601,5.273694179242378,1.0207818307576222,5.887898059747459,4.13,1.7578980597474594
RJ7UTWVITJTT6EAJ2V55YTMFCC6UFZCMDAXEO5TGWZJ43XAGSTWDTEUIAA,3.77154736,0.8946504465660615,2.8768969134339386,2.7082168155220208,2.41,0.2982168155220205
MKEDDM3XHF3AW2AEQ27B3DWTXLHICSZVLVQNKGRT43HD5UXSAYFOXYGNLY,0.27,0.0,0.27,0.0,0.0,0.0
TYEM5GOH5TO7IKBUMY2RIHTYON3ZECACQ7GUWX3YSWIVVBMYPYPMWZQDLA,2.80046236,0.15643979057591595,2.644022569424084,1.8121465968586388,1.76,0.05214659685863865
DJICF76S3ZL4WE6Y5SP5BHIU7TZLNQESF6DFTVOTGONWL6IFZQHJ4QUAVE,4.58814043,0.7795218663381576,3.8086185636618426,3.1298406221127193,2.87,0.2598406221127192
