interval,consumer_id,prosumer_id,p2p_trade_volume_kwh,market_price_zar_per_kwh
37,C0,P14,0.0027243337997404343,3.0
37,C1,P14,0.0023277961764808204,3.0
37,C2,P14,0.003012932315636292,3.0
37,C3,P14,0.0022169836821047694,3.0
37,C4,P14,0.0028193931200057813,3.0
37,C5,P14,0.0022856560683696,3.0
37,C6,P14,0.002753951479604236,3.0
37,C7,P14,0.001975733458779134,3.0
37,C8,P14,0.0028767815815887643,3.0
37,C9,P14,0.0021773819067598377,3.0
37,C10,P14,0.0009688182061316047,3.0
37,C11,P14,0.002181292017530022,3.0
37,C12,P14,0.0011338046996850206,3.0
37,C13,P14,0.002558914400031816,3.0
37,C14,P14,0.0021347412430272428,3.0
38,C0,P4,0.02159740956715809,0.5
38,C0,P6,0.0011003957611269244,0.5
38,C0,P8,0.013869891025351912,0.5
38,C0,P11,0.01942432978511436,0.5
38,C0,P14,0.02720141022497047,0.5
38,C1,P4,0.03666073160881947,0.5
38,C1,P6,0.0018678774200541837,0.5
38,C1,P8,0.02354358057353399,0.5
38,C1,P11,0.03297201632996484,0.5
38,C1,P14,0.046173296688111126,0.5
38,C2,P4,0.024069829315478103,0.5
38,C2,P6,0.001226366433781804,0.5
38,C2,P8,0.015457682948799654,0.5
38,C2,P11,0.021647980561808722,0.5
38,C2,P14,0.030315362553986775,0.5
38,C3,P4,0.024913024212806157,0.5
38,C3,P6,0.001269327516125428,0.5
38,C3,P8,0.015999184062750693,0.5
38,C3,P11,0.022406335201882392,0.5
38,C3,P14,0.03137734594743503,0.5
38,C4,P4,0.03606428784241142,0.5
38,C4,P6,0.0018374883963027415,0.5
38,C4,P8,0.02316054343118106,0.5
38,C4,P11,0.03243558531119104,0.5
38,C4,P14,0.0454220903216373,0.5
38,C5,P4,0.026774459585440634,0.5
38,C5,P6,0.0013641683157726897,0.5
38,C5,P8,0.017194600841271914,0.5
38,C5,P11,0.02408047739191204,0.5
38,C5,P14,0.03372177836748307,0.5
38,C6,P4,0.04399470680554542,0.5
38,C6,P6,0.0022415460859000745,0.5
38,C6,P8,0.028253471194671472,0.5
38,C6,P11,0.03956806445388803,0.5
38,C6,P14,0.055410259449110974,0.5
38,C7,P4,0.03122279224254712,0.5
38,C7,P6,0.0015908124595873198,0.5
38,C7,P8,0.020051327200362748,0.5
38,C7,P11,0.028081229438440932,0.5
38,C7,P14,0.03932434477929412,0.5
38,C8,P4,0.02386831546672207,0.5
38,C8,P6,0.001216099230935556,0.5
38,C8,P8,0.015328270432282135,0.5
38,C8,P11,0.02146674255535553,0.5
38,C8,P14,0.03006156077979804,0.5
38,C9,P4,0.0276324423988821,0.5
38,C9,P6,0.0014078828477444504,0.5
38,C9,P8,0.017745598778642784,0.5
38,C9,P11,0.024852132023289217,0.5
38,C9,P14,0.03480238678034962,0.5
38,C10,P4,0.018285895577290635,0.5
38,C10,P6,0.00093167293601072,0.5
38,C10,P8,0.011743231435665127,0.5
38,C10,P11,0.01644601242593352,0.5
38,C10,P14,0.02303063917837749,0.5
38,C11,P4,0.027003290718096543,0.5
38,C11,P6,0.0013758273440281589,0.5
38,C11,P8,0.017341556561275093,0.5
38,C11,P11,0.024286284082385173,0.5
38,C11,P14,0.034009985594014684,0.5
38,C12,P4,0.023688268107400393,0.5
38,C12,P6,0.0012069257534227278,0.5
38,C12,P8,0.015212643729670938,0.5
38,C12,P11,0.02130481113142581,0.5
38,C12,P14,0.02983479552512236,0.5
38,C13,P4,0.024736118415764966,0.5
38,C13,P6,0.0012603141023371871,0.5
38,C13,P8,0.015885574876469136,0.5
38,C13,P11,0.022247229243737673,0.5
38,C13,P14,0.03115453741377596,0.5
38,C14,P4,0.020418965225752567,0.5
38,C14,P6,0.0010403535994049677,0.5
38,C14,P8,0.013113092181309436,0.5
38,C14,P11,0.018364457699543923,0.5
38,C14,P14,0.025717188339091555,0.5
39,C0,P0,0.011960060449172577,0.5
39,C0,P4,0.01275237366164578,0.5
39,C0,P6,0.013389018562533621,0.5
39,C0,P7,0.011300202362734053,0.5
39,C0,P8,0.012613069561963279,0.5
39,C0,P9,0.0022289058977413632,0.5
39,C0,P11,0.013543226363403053,0.5
39,C0,P14,0.014330956456332304,0.5
39,C1,P0,0.013385953671439946,0.5
39,C1,P4,0.014272727446581675,0.5
39,C1,P6,0.014985273941196815,0.5
39,C1,P7,0.012647426486537449,0.5
39,C1,P8,0.014116815339572163,0.5
39,C1,P9,0.002494638819925803,0.5
39,C1,P11,0.015157866587110713,0.5
39,C1,P14,0.016039510837519123,0.5
39,C2,P0,0.015421190907480252,0.5
39,C2,P4,0.016442792207907918,0.5
39,C2,P6,0.017263676232582265,0.5
39,C2,P7,0.014570376016865122,0.5
39,C2,P8,0.016263174795058878,0.5
39,C2,P9,0.0028739305716683206,0.5
39,C2,P11,0.017462510339377662,0.5
39,C2,P14,0.01847820220801446,0.5
39,C3,P0,0.013053702083712834,0.5
