interval,total_load_kwh,total_pv_kwh,battery_charge_kwh,battery_discharge_kwh,avg_soc_pct,p2p_traded_kwh,mcp_price_zar_per_kwh,curtailment_kwh,grid_import_kwh,feeder_overload_flag
86,4.827883407525805,0.17801104312405439,0.0,2.12322614312435,35.51024128633101,0.0,0.0,0.0,2.526646221277401,0
87,4.07001298430279,0.14245978257317804,0.0,1.8183785237840577,34.297988937141646,0.0,0.0,0.0,2.109174677945554,0
88,3.505077332653768,0.13874014678633392,0.0,1.6279841911010458,33.21266614307428,0.0,0.0,0.0,1.738352994766388,0
89,2.583672756131643,0.07747863722259964,0.0,1.1748702512197422,32.429419308927784,0.0,0.0,0.0,1.3313238676893009,0
90,2.076135320021427,0.13229914382411964,0.012359373062443599,0.8527385265735763,31.869166539920368,0.0,0.0,0.0,1.1034570226861746,0
91,1.825266245342824,0.27408182367160244,0.0019654281199242424,0.6671743698268434,31.425693912115747,0.0,0.0,0.0,0.8859754799643023,0
92,1.5469643355502358,0.09473721559175614,0.021838331540892184,0.7792574541888839,30.920747830350425,0.0,0.0,0.0,0.6948079973104877,0
93,1.3051907305012935,0.1377099135632711,0.02782055420043276,0.5906761158158108,30.545510789273507,0.0,0.0,0.0,0.6046252553226447,0
94,1.4018295679171935,0.25702967727155485,0.01777941003529169,0.47140553861517065,30.243093370220254,0.0,0.0,0.0,0.6911737620657601,0
95,1.3172429675399904,0.2614844834317226,0.0607124560170825,0.4709775864918722,29.969583283237057,0.0,0.0,0.0,0.6454933536334782,0
