interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,125,0,0,0,1,1,CWQXZ3TYDQZ3XL2IT5JSDELSZEY56MGQUBL3NEWFXMLV3QV7DNTA,JRJVUVF4Z5K7TM6AWC7MIE5MN3UPHDEEOZGW4FDDJTJBP7VDHJVQ,
1,0,74,3000000,0,125,0,0,0,1,1,2POOSNH26S2TBEI2RANDJCJHHQALYFS6T2PMLKRMQCFI4AF5FCOQ,MP3Q6MPIAZ5AWA62TEEMHPCS4PIHO7CJY2WT2SFB2Z4LURP6MEHQ,
2,0,56,3000000,0,125,0,0,0,1,1,3ZKM7DAUP6YPWD4TJCHF7N2TXL33DIOJOGV3RTVHWHD2CIBNF55A,NNPAGP6DCCW5TECWSEPQQY4KH5ICLDWGBJTZYG4IZZ4WEM4NYXOQ,
3,0,43,3000000,0,125,0,0,0,1,1,QBXSHVK67NNB5WMAX5YTPQA3ZFV6I3W2NV5767ABIAGJZFRFDYAQ,ASYUIT3ODNU436LB3M27HRD5MGC2G3LJVE7NJEJZDNESPHHLFT3A,
4,0,66,3000000,0,125,0,0,0,1,1,MQXRXT3RLWNLYB2ZI33H5LIS3ZRLSZRYGQBPDQUCQ6TFC4RHOQ4Q,GTY5BOOLIWG43YBLEAWXIJZRY5RGMYYYPOVZFOE4JVALJVSQY6WA,
5,0,76,3000000,0,125,0,0,0,1,1,ZTMI3PQRRDFON4ZAHOFCGQIAI74QE7BHMAHWCDPXM6SVDX7X4RLQ,KKPQQAHF2XIBCW3AX2EBHYSR4E4LUUDK5CBEGDLETCDH4T4X4YXA,
6,0,58,3000000,0,125,0,0,0,1,1,RRJJ4AAET5XWDTTOR44CAPYCROLLV2HU6SLCCWCTXHYAAOBD6UTA,2EZVH7Z5EL7PQZKDM2MEKUJLOAZG6F4AYFZYZCS33LKXB5GPKYCQ,
7,0,80,3000000,0,125,0,0,0,1,1,2BZ5CH73M6LXM5FNRMOQXQSICGLRGG5N7XU5BC3LWQUSEY2T7D3A,DV7H2WK6MM7F5MB6OH4PKPQ7HE37YXD5MWXSBTF2E4LVCZT7SGQA,
8,0,57,3000000,0,125,0,0,0,1,1,Y4ELREI7KXSB6OQMEFIY2CXEKO6QSCALLDHX6HUV4N2VZFWN7B7A,7HATK3CWCW5AGQRTOR7L7IUSJT6NGT4QYRSVVSICMMIC64COE5YQ,
9,0,63,3000000,0,125,0,0,0,1,1,XZM3POB6XVLNEMPH2DDYUYKSWV2RSFYHBFDTYUFPJESZHIXL34NA,24332QLIHQJEPECIC74P7AT6NN3L2MFG3RKVRLHNJ3O4MRBQBWAA,
10,0,73,3000000,0,125,0,0,0,1,1,ULEA6FF4N73LBPSOMXDUBJEBXOPQ5F2A2BUP7GJWGD3TMG2RS3ZQ,ADVA63IX3JJUN4AC3JVZCOLFKDFEFV777BAACRDNIIWXT4RGFRCA,
11,0,69,3000000,0,125,0,0,0,1,1,AQKZOB2PICSH5BUREMNLGUDSSUGBIEQLE5C7SWVI4DO4P5N3LPJA,RQJE52LQBMRMUHGSMQT2ODBPFC7UHE76LKRROWC3XW2DOCBA3ERQ,
12,0,82,3000000,0,125,0,0,0,1,1,BI3SAJZIZOADV2FUNDMR6RVOXIVABNIER3M5PXR6BB2UTJ67ZM5A,M4L6PL3AA7ZATPVNJT26UZYMLAELYSDQFLDRT7XSXPWIN5JIHCUQ,
13,0,80,3000000,0,125,0,0,0,1,1,TV4TOB7JIIGSDVBF67LVMKOFJVWW72MN3M5GKFBEWGNBWQE6KOJA,RKEESLY2EKZV4U5PQBEMSOYYCTG5UQDPSOVDFS5VBT7KUWXAX5OQ,
14,0,71,3000000,0,125,0,0,0,1,1,5BLXPMDOFFXQ57QO5CA67GQ3AJHHHOGJNSEDQJWKUHG2TMWN6OGQ,AKG6R43VOY7XLA3B2U2YOHVZHJQFIDN6NKFATONAMRETTDI5GQIA,
15,0,90,3000000,0,125,0,0,0,1,1,4BW5LVOJH3OQ6ATW34Q2QDH6MXU6OMXDK57IYMG4N6BODXA6MV6Q,NX3WSUZAQ2BUUFREOUHJYXYQ7QXO3S45OGKFTOV2ZN7L57GDGMXA,
16,0,80,3000000,0,125,0,0,0,1,1,OEUTOXQGEJ7Z5FHSAJ6OZ3NYVEO4MTBXXO7F6SZ7Y3V2GNFNUKLQ,YXPSRD2X6EROBK6JBQ3YIRPR344ZUKUK636ICIOYJIF2TRILN6NA,
17,0,101,3000000,0,125,0,0,0,1,1,XQJIFYZMORP2XFBSFTXX7VKMMMHY3IGOPWBBAHLJ3KBD33Q4ERQQ,KQKZBFORX4T3OMVGTOOBWJ22C3C57X5ETVTNJ352OV4VR3YXDHIQ,
18,0,93,3000000,0,125,0,0,0,1,1,X6PIED6OSQV7LNGIVGS3FHZZOZLD7GEHH4HGNMUJIVKOGXHKGVDA,VONFHULZ6OMD3GFXO2UQLQIFTPMV5Y4AMQITX543SFATV43IVHKA,
19,0,117,3000000,0,125,0,0,0,1,1,6JAXME6Z6XJUPC42BI2HOT2MSPU6N3OCVXLKBZJLG6UXSUWIJAEQ,4AKF2KADBRRQD222CIHE5XSP27KSUEXRCIJNG4VFM26UGCH4K22Q,
20,0,145,3000000,0,125,0,0,0,1,1,LDAUQMASM6X7D5G4VZJFMHWLNX2OVPH7VLA6EWT36OOOMQLV4FPQ,PJXKLBOBQ3PVVBJLKINI3G2VFSA7A5OWAOKHQ2VGWBHXJY7I7WAA,
21,0,186,3000000,0,125,0,0,0,1,1,ZW6LDX4PSLGC6BKOHCC6AUXDQUHBG6TW7LODNA5BRLW7LIEP2ICQ,Z4F4A6L5NFGK6S72Y7TFETQB4QJ4CPNNOEIHV6VNI5T74HTUMHMQ,
22,0,233,3000000,0,125,0,0,0,1,1,2EZQJJFQME22L6JQW7VF26SNO3QRJ6WSJUXY43PTSD64EIBEDOMA,ROQJAYHWAKCEDXZOV7CXF5Q6QYVIW3A2TIUAALEDXO6JOMPU4IFA,
23,0,294,3000000,0,125,0,0,0,1,1,MWRZZKCH5BTOTOGUZVCOQJGFA52QJWMWHLJAY3DT4MSXQXLJLVSQ,UGLFUINMLIGSXSSCNTQCOPUSHBYH7IVMHUWPBMDPIVK2R7CSGXLA,
24,0,367,3000000,0,125,0,0,0,1,1,VTRCKLL243EVM7RNFRWRFXRUBXSUHNT6WBLA7M2APPO4TPLAIW4A,Q4TVP7DKUV7WSD4IKC7GVP7367ZGEZV7O6HR76K7BWMSSRUTACCA,
25,0,427,3000000,0,125,0,0,0,1,1,TBSJNEBXU2CBYOUE2Z7LR7EHV6NH4A2IDXN5BGUTD3X2UKRR3G6Q,C4JQDHC6S5SXLBIUDWIYADM53TJBRMYROWRAGLVXD5OSU5KVQTGA,
