interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
82,0,530,3000000,0,125,0,0,0,1,1,42JGHT56OGMGIFQ2CWHJMUB2P5ZZO53PBWC4CBD747W2UV6EZR7A,BA7YRTLRS572AW3Y5ODWY2WTUWCMYOSORBSTWHPBTVD6HMJB5KUA,
83,0,457,3000000,0,125,0,0,0,1,1,CUPVHTQELNTIPMA7ASYILJ3SIII2KKCH54J6DTCGZKV6TNHV5TGA,QKRGEWAXQLUDYUXTGFYO27T3NTSAGA5LJTOEQLR3AFA4VJTMTG6A,
84,0,385,3000000,0,125,0,0,0,1,1,X36OU4O37NCCGWZ3L5Q6EWLLDK7C4LWDYZMR2OBA46I5MN5RLJGA,P4XUTFREDGTGA22T6LVDJXGRW6QRAONQYCVCGCPGFRMDISZOI7YQ,
85,0,325,3000000,0,125,0,0,0,1,1,BG5UU4PXLQC5I337SVEHISWJP353PBIVQGM3JMPOISWW7YOPU2UA,WOF7MELPEGPTIC746PKCDSKGIEHWT7ASEJB7XCATM4AGZIJI6V2A,
86,0,265,3000000,0,125,0,0,0,1,1,C7RKDLSD65LTQVSAHCAN2R6MMG5GYKPU7A6PZO2YNUJVT3LOEGYA,MWRBIRWMTVM5VDCGBDVVHCUXLJUK254KJ4R5XLDFZFYZR55FWGOQ,
87,0,218,3000000,0,125,0,0,0,1,1,AN74MI6HZKJ5YPHZTQXMPWT7FKDJSVZOR43KHKPYNOCK2I4AUJNQ,TAF2LF46VLV25I6QVZPYN6RYYK7JPW6QZTEQCWFQIDVRWMYHI4JA,
88,0,162,3000000,0,125,0,0,0,1,1,QNTXNQYCRBBFS7QF4VTXCH5XW4LZQVB637POBDELMNT7K522PJUA,USIPTGNBWGZX3MF6VMA4DQO7VKIR3LNED3XUYYZGEQP7JP6NS2MQ,
89,0,136,3000000,0,125,0,0,0,1,1,SXFLHTURWSIKM65SA6D2ME3QUIAXSM2DWIL3767TBSBI6QUUUYSA,D4C3G77HCGJWGXBEH77BYXVBV4TSL7D7I4OTTBF3XDPIOIPP7YWA,
90,0,114,3000000,0,125,0,0,0,1,1,XQLLGOGOBROBM3SMV36OE6SEH6W4IAFVALYK6MKQ2L3BOLCRFMPA,MOMCIDGP4NSKVGB7CQMSQZLAO7UFJI7X24PPAEXKBDRXPXSR6YOA,
91,0,92,3000000,0,125,0,0,0,1,1,M3HV7F4FCRZHVY74C7B5HP52SBGVJYG7MZE73XJXZ47HKUD4Y3TQ,TSVCSKZW67LWRYCA36EHJBRQGKHUEDVFPHVZYCFQG4U2ESBB3SJQ,
92,0,81,3000000,0,125,0,0,0,1,1,ASGYYSDT3X345KW3GUTTZ3W6S2VOOZXVYLR5BF6N3UO4TRCJ4AHQ,XQBJO2JJHGYNZ2JO3U7RKYSCDKPH5GVJWPXTXFWJKBYAAFJBJIOQ,
93,0,71,3000000,0,125,0,0,0,1,1,ROZOTW3K2NLRPXZQSXRJYBAFW74DMKRMODZCA7X37RSYFTJQVU7A,XH7UUBVIYPMHGAKLGZQLLMEHNZLM5ECJIISAKM5X44YLTY6UR33A,
94,0,53,3000000,0,125,0,0,0,1,1,PIPF5P7CUZDXHNXOGYGPMSAAXECGYEM5PKXJURPCMO6XLZPEQZNA,U532EHNWHETKPKGASGHOSPMUIK42QS4MDAZXQOHCRR3DRR54ZMOA,
95,0,56,3000000,0,125,0,0,0,1,1,GL6MJHJTQTXYLDMMT2EQAATLGEFSCF2IEMCWMB7UFPPI3NZODV3Q,DK66E4PELKK5LNP7ETLKCCXYZAP7EYLG4M3D3BFDOIZA22WOISDA,
