addr,p2p_benefit_zar,utility_cost_zar_est,net_outcome_zar_est,demand_kwh_est,p2p_recv_kwh,grid_import_kwh_est
YJ63FV6L3KCBKROTXFFSAS7JMKU4KSV425OKDNKEUM6NGTO67N2JADFWUE,30.17222838,0.0,30.17222838,0.0,0.0,0.0
BOJQS7QV4H25LHXC7OO6F3ZWCQLF7KJCMLQDQV6PEO66YLUOWY4GDFAN3I,2.9066776400000003,1.5775916230366493,1.329086016963351,2.36586387434555,1.84,0.5258638743455498
GHJUTLG2UR6OFTJLZABZQ3P3JWHP6CZGQ5MGJSTG3BZU2MLN3VCMPOHOYY,8.69464411,0.0,8.69464411,0.0,0.0,0.0
MJMZZ5PWLPTLGHOFNNDPDW7Y4H6DYKM6CLTDSYFITRENOOHEHNCDJGMZTI,5.62346856,0.0,5.62346856,0.0,0.0,0.0
IHBASPBZHPT3UDOK62WG5G2UWTOHRKMP5S43DTFOLKXPZKWADONVZCJZH4,4.593863,3.933437018786572,0.6604259812134279,4.181145672928857,2.87,1.3111456729288573
TEQ7VD5224ZN3EF4CB3O3LQKQX5LIUA34UCEJQSEFPVSCNFHDTT5AMIS3U,1.6702630399999998,0.0,1.6702630399999998,0.0,0.0,0.0
CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,1.60675862,0.0,1.60675862,0.0,0.0,0.0
DOAO2K7EKVOVKQ3YOEK42AZOHEDMZOXZDHODLY6ZC7UCXA45A2P4BLEH7M,0.5414297499999999,0.0,0.5414297499999999,0.0,0.0,0.0
EYHBUXR5WOSB2FDT2UABTV3AUWWEZ2UCLNXSFEBUZDFP7OBQLK246ZHYF4,0.2718793,0.0,0.2718793,0.0,0.0,0.0
H6LO6BTMDTHMPXPXVQBAUGSNZOYYUAFUXRILCERLQKPLLYEYYOF75NX6MY,3.2143555,1.4070157068062827,1.8073397931937172,2.4290052356020944,1.96,0.46900523560209423
LDDCOBDKFFB6ZJC4B7X63E3LKMNQDZQPH23WE4RVWNKQHYINJPK76PHGNY,4.90108656,6.926059439482602,-2.0249728794826014,5.338686479827534,3.0300000000000002,2.308686479827534
G2TIMD2NRXOC4QTNUCFMN67IS2O3LVBDRMCG5QCT2YU6Y65PFAIAV4TK6U,1.3043987499999998,0.0,1.3043987499999998,0.0,0.0,0.0
3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,5.26313003,3.946794733600247,1.3163352963997532,4.495598244533416,3.18,1.3155982445334156
NWP3WWLTQZ3YTBZWUFO2EGB4Y5BRI5E5IRD4ITJMFNBXQSGQDGJ2OKGHIQ,0.39,0.0,0.39,0.0,0.0,0.0
ORGRTTOHWS6FIGVTDIQIYWA6JD7FCLZHXWRGFNDL5HQ5DZVUKUFUC2GVW4,5.06305549,7.16417231290422,-2.1011168229042196,5.51805743763474,3.13,2.38805743763474
GQJ3IAAXUPNJ6ROBA2JQ72F3S2AGYCMURC5JZEI5CNXFISTOLPEJHGN3B4,0.8858075,0.0,0.8858075,0.0,0.0,0.0
XCH3Q7QFM72YZIAXMY5OT4265Q4LONZ756UZCUHL5S4ZIX7NILDHWC7ZHU,0.32999999999999996,0.0,0.32999999999999996,0.0,0.0,0.0
GWEQXNXLSQCB6AWLXCU54BNSCTWK3UK574CLEWBFQUT65HCLO5DMT6YEGQ,4.8221686,3.5643316907914997,1.2578369092085007,4.1381105635971664,2.95,1.1881105635971665
YBKDXSGKLFNDU2RYZY73L4NAMTUPQBVFGZVBJKAXAI7JVUSSNWKISKMXFI,0.50912499,0.0,0.50912499,0.0,0.0,0.0
OSM4FVXIZ7QCJOUN53IO5JLFINVISJGVXP2SK674HMG6MVFSWWOBRJXJWQ,0.09,0.0,0.09,0.0,0.0,0.0
ZOHS42RCMLIYQTJ4QVTD5VAFWDRZAHRET2ZAAEXMN6EPXMKDBBJEOUICKE,4.6825411400000005,7.113437018786573,-2.430895878786573,5.311145672928858,2.94,2.371145672928858
ZUWWQX74E43WTEEQMGQECIMOKQAJSSQYK2GCGKKCPIBBC2R3UHDVPQFOIU,3.19751719,1.8381675392670163,1.3593496507329839,2.5427225130890054,1.93,0.6127225130890054
RSPV6P6XJMIZUF4K26B5GSIRCC33K5Z23RNVTM4FVJNHEKIHQK63AN7GJQ,5.12353748,7.674012935016938,-2.5504754550169375,5.668004311672313,3.11,2.558004311672313
HYJNPKD5XXIW6HOVGVWBLKYQB5GQKQALZRJHNPESDZ5SQIEDJAEJU27TOU,0.0,0.0,0.0,0.0,0.0,0.0
67ZYIG2F7HC2YGI6MGQ2DBKWQRFQHFDQGXRMLOY5FVI2RYPWG4B5PNNI7I,3.58930297,2.6206736987988912,0.9686292712011086,3.0735578995996304,2.2,0.8735578995996304
JZG57OVKRVEJSFTJLM5IY5JZJCJLGX64TXQCVQLBLPR3ZWXAARNUKFE244,5.1093067,8.153694179242379,-3.0443874792423786,5.887898059747459,3.17,2.7178980597474593
RJ7UTWVITJTT6EAJ2V55YTMFCC6UFZCMDAXEO5TGWZJ43XAGSTWDTEUIAA,3.12525722,2.4246504465660617,0.7006067734339383,2.7082168155220208,1.9000000000000001,0.8082168155220205
MKEDDM3XHF3AW2AEQ27B3DWTXLHICSZVLVQNKGRT43HD5UXSAYFOXYGNLY,0.03,0.0,0.03,0.0,0.0,0.0
TYEM5GOH5TO7IKBUMY2RIHTYON3ZECACQ7GUWX3YSWIVVBMYPYPMWZQDLA,2.40432321,1.086439790575916,1.3178834194240838,1.8121465968586388,1.45,0.36214659685863865
DJICF76S3ZL4WE6Y5SP5BHIU7TZLNQESF6DFTVOTGONWL6IFZQHJ4QUAVE,3.88387427,2.3695218663381574,1.5143524036618428,3.1298406221127193,2.34,0.7898406221127192
