interval,seller_addr,buyer_addr,qty_u,kwh_asa_amount,payment_microzar,group_txid,ok,error
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,67ZYIG2F7HC2YGI6MGQ2DBKWQRFQHFDQGXRMLOY5FVI2RYPWG4B5PNNI7I,5,50,145624,LLFKQ6W6EACCGM3JMUIMYUSYYY4PCLCMBWPJD4RABQS6AZO5AF5A,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,DJICF76S3ZL4WE6Y5SP5BHIU7TZLNQESF6DFTVOTGONWL6IFZQHJ4QUAVE,7,70,203874,QOVUQEXNM7ZFGRCUDZANFKECQAEWIYKPO6EVVQ7VXEUKS3N34XIQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,GQJ3IAAXUPNJ6ROBA2JQ72F3S2AGYCMURC5JZEI5CNXFISTOLPEJHGN3B4,7,70,203874,GKZ6IVOZAXAEEWUBCBQ36NOXINZD5H4Y5TANMLCXVOJOUR4I5Q6A,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,GWEQXNXLSQCB6AWLXCU54BNSCTWK3UK574CLEWBFQUT65HCLO5DMT6YEGQ,8,80,232999,3BKBJFATYVMBFV72IUEIGIXCGMLHV6UXC23G4APYYXVFGG2CICKA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,HYJNPKD5XXIW6HOVGVWBLKYQB5GQKQALZRJHNPESDZ5SQIEDJAEJU27TOU,6,60,174749,BH35DAI5FEYTLPMHXSRSWDGQN63KN5AHP5OJEW7V5DM3OHEW67AQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,JZG57OVKRVEJSFTJLM5IY5JZJCJLGX64TXQCVQLBLPR3ZWXAARNUKFE244,8,80,232999,BKDFA2XMQX7CHSSWLUDIQ3AEY7MDLZY4RRDHI74VGMPIGYWRIJXA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,MKEDDM3XHF3AW2AEQ27B3DWTXLHICSZVLVQNKGRT43HD5UXSAYFOXYGNLY,7,70,203874,VO5PFGIR5AFHC4SHJCYMSPX5ZIICJ73XMF3X4N743V4N2JRRSRZA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,OSM4FVXIZ7QCJOUN53IO5JLFINVISJGVXP2SK674HMG6MVFSWWOBRJXJWQ,9,90,262124,K3DUOV3MM7KDXP4BWL5VCXQ3CECVP6B3O7VO2HQPAFKNVEXE3R3A,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,RJ7UTWVITJTT6EAJ2V55YTMFCC6UFZCMDAXEO5TGWZJ43XAGSTWDTEUIAA,3,30,87374,7SNPNSANLWJKBJ56OFASLXTHMS4CP4ULYBP4DXMC4GU7ABK6IHOA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,RSPV6P6XJMIZUF4K26B5GSIRCC33K5Z23RNVTM4FVJNHEKIHQK63AN7GJQ,5,50,145624,BWI24SQ7ZFNXOHFC4CFY6OGQMKZ3X5MK6GFOELJKN4BIF67D4R7Q,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,TYEM5GOH5TO7IKBUMY2RIHTYON3ZECACQ7GUWX3YSWIVVBMYPYPMWZQDLA,4,40,116499,6SAPKIXS7QHTA4KVOIFVQNOSM2V3LM4TVITEV55CBX26Q2G22RXQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,XCH3Q7QFM72YZIAXMY5OT4265Q4LONZ756UZCUHL5S4ZIX7NILDHWC7ZHU,7,70,203874,EPCK7XMV4WANX2IQICHGXBVGODKZIES3SGH2P4LLIZQB2R5PYJJA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,YBKDXSGKLFNDU2RYZY73L4NAMTUPQBVFGZVBJKAXAI7JVUSSNWKISKMXFI,2,20,58249,JEQN27CEFBIKL2EWK2TKEQKYA5IZV6LQH63WW2DVAOVN3BCHFDOQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,ZOHS42RCMLIYQTJ4QVTD5VAFWDRZAHRET2ZAAEXMN6EPXMKDBBJEOUICKE,2,20,58249,BJ4WGJAKK3JEHWZN2EMRAF2NZFCC64M5MCE3BUYHNO7IEFA23PUA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,ZUWWQX74E43WTEEQMGQECIMOKQAJSSQYK2GCGKKCPIBBC2R3UHDVPQFOIU,7,70,203874,7YHFLVTECAKPQ7TD467YTS46X7ZG56EVFDYRUQXJMZDS2LVPSEQA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,67ZYIG2F7HC2YGI6MGQ2DBKWQRFQHFDQGXRMLOY5FVI2RYPWG4B5PNNI7I,5,50,145624,HFGSJ6XEKTGUB6EUYOLSOTHBQKDIVVWDOCYNSDPCPRHSRJQIG6WA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,DJICF76S3ZL4WE6Y5SP5BHIU7TZLNQESF6DFTVOTGONWL6IFZQHJ4QUAVE,7,70,203874,YYAC6SHFERH6Q3KILALQO5KRGFD7W55CZLDH27Z3BIJQQJKHCCKQ,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,GQJ3IAAXUPNJ6ROBA2JQ72F3S2AGYCMURC5JZEI5CNXFISTOLPEJHGN3B4,6,60,174749,O2VJLSXUYZLK6EBSAASWZYIRHI6WPGFVWQBGUHITKNUQZFKHX7TA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,GWEQXNXLSQCB6AWLXCU54BNSCTWK3UK574CLEWBFQUT65HCLO5DMT6YEGQ,7,70,203874,X3EHQAUCKSTPBVCRKVLYOZXJ7UH633PPAEAYQJCMAYC3URKAW6LA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,HYJNPKD5XXIW6HOVGVWBLKYQB5GQKQALZRJHNPESDZ5SQIEDJAEJU27TOU,5,50,145624,R2HE3Z3GBL42IW7E3DNUYCMWFXJJJ2VXBHXUZBDWJQB6FZYOK6OA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,JZG57OVKRVEJSFTJLM5IY5JZJCJLGX64TXQCVQLBLPR3ZWXAARNUKFE244,7,70,203874,G5CD6UDECUGLJJVRULLWIENRTE2K4O4PM26XTQHPTENYQOERL6KA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,MKEDDM3XHF3AW2AEQ27B3DWTXLHICSZVLVQNKGRT43HD5UXSAYFOXYGNLY,6,60,174749,7HS5O4TTVFMVPHNLYQLKHWB33OEE34464H45HG2BO45MCE6YZKWA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,OSM4FVXIZ7QCJOUN53IO5JLFINVISJGVXP2SK674HMG6MVFSWWOBRJXJWQ,7,70,203874,NJALJN4Z55SN5FRL6GW3CB7BCMKYP43KSHKPFSWIAE5TQC3B64YQ,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,RJ7UTWVITJTT6EAJ2V55YTMFCC6UFZCMDAXEO5TGWZJ43XAGSTWDTEUIAA,2,20,58249,S45F2T52BNUZ75YVXZTX2X3TNZPNZ6DF7C6F5NXGS6EN2UXFMQXQ,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,RSPV6P6XJMIZUF4K26B5GSIRCC33K5Z23RNVTM4FVJNHEKIHQK63AN7GJQ,4,40,116499,VVYYIR7H3ITA3CPDQWDGMCWLWKGGOE2AZATS2PGZSE5F5HDWW2CA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,TYEM5GOH5TO7IKBUMY2RIHTYON3ZECACQ7GUWX3YSWIVVBMYPYPMWZQDLA,4,40,116499,2Z6Y5FXMLXNCPIDWXKMFOR7OWXU6AJS5TTHQSBEDITUSCW4G5EPA,1,
