interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
79,0,763,3000000,0,1250,0,0,0,1,1,LG44EEGN7ZIZSDHCPVIQMYVCKI35BPWOC53PV3V7ZUAOTKEL2IXQ,VYMTONKA6RIEQ2JOMXYYRHJETSLJZ5A65WLGRXVLAFGY5K4JD4MQ,
80,0,686,3000000,0,1250,0,0,0,1,1,R7IQQHOMZKDZ4YRFTYUMVTYNZD7WSFLW4WVAQFZRHJ6XFXFPZZKQ,46YKGTHQRJH6VIKTNYFFXNOWHAH6RDECUE6OY2AM2LUCWG47FKRA,
81,0,614,3000000,0,1250,0,0,0,1,1,4KLKCW52LCOOPGAY4MIR6TNPLFRWQ2CANSUZQ63EDSBTKETP33IA,3BTJ27HBAP7MTJCA2G7MERWDMT34C5EHVKAWBOLRRMMNR46MWELQ,
82,0,530,3000000,0,1250,0,0,0,1,1,CM4QKIUTGFNKK6MUZKI5LU3EHCVVMOYCFLG6VV2VTVLRYGIFGGMA,MGBSDCO2PT7S53UWSE4EBO7TNEFIWEYH2OQV6PGKXAFBRTO7XICQ,
83,0,457,3000000,0,1250,0,0,0,1,1,M2JOU2GAD5SOBUAQKINW6YRUO6ZZFJQ5O7QP6FUYR3ALLJE6ITEQ,BNTANR4S2HLIYNDIXC6BWTM3H77QH55I3A3FQYCFWDQJV5ZPKXHQ,
84,0,385,3000000,0,1250,0,0,0,1,1,O67ZDJZBBDFZLM3BRVAU2QHHWAOXHHRXRQZ5RJWEU5QKWTNKONVA,SF6SP7B3ADWL3AEL6YV2AT3RD3UJEZZY7JHYWLAN4BILNDL4YIBA,
85,0,325,3000000,0,1250,0,0,0,1,1,WAYZODC2TDWO7TSQOIE62C7AO2HDJIUUK6YLKMFFWVM3NOBYS6JQ,HDOJ2YO5H3VITVFNOO35WMO3LPIZEQHW7HBNYKFR62ATS47KP2PQ,
86,0,265,3000000,0,1250,0,0,0,1,1,G3ZWLTH4RCJJVESUBPRRVDWPBLYVAMUKMQCFI7ZUTGHJK6ZTVA5Q,JLCAB3SGMDW3NPRSK5BMORCQAC7VN6H5IORAWTRI5P5URLZ7QYVA,
87,0,218,3000000,0,1250,0,0,0,1,1,6PQJTKTTPHBPFU3WIXQWA3G3UNJYOD2SIN5C3OATU2YPBBNO27PQ,5BB4XQYKIRKWN7NRJO5VVVWE4I5WR632IHMEVXPNY52EQR7NUZNA,
88,0,162,3000000,0,1250,0,0,0,1,1,PHKBTKNSO4YSXGG2XRLU2KKCJFAVQGSYDN7AFICPZWMREJOJ3XRQ,7AKQ2IA64J5SBWTTQECO56DT5VGEGZIQ76BEH7UIDKGTVCGJB2LQ,
89,0,136,3000000,0,1250,0,0,0,1,1,XODWXSH27WENGLBIPLM4WZK57ZVMZSVR7UMCOMCAZF2IVQCMOK3A,WOQTJIYJMVLCI2DPSMFAMC7AVHP2NQAGLF7K2PYNOKT24CLJF6AQ,
90,0,114,3000000,0,1250,0,0,0,1,1,EQKPETE6M6TIR2TM7YBUBJTWLMEQT6Q3KWLIEFBWQAXFXVDCBBZQ,AZ4YVIFZF5PRZYJVFCCAVK6JQH624R4SNNA7Q75VE3Y77MXOYE7A,
91,0,92,3000000,0,1250,0,0,0,1,1,HDWD7Q5KDB4GTVWCPUFAZWPEJJYTJEOHXPAMQYFW2QRXE3CJZ5LA,EZWPIXGLZGCBVGTBBF4D4SPVTJAFZA45A2WNM575BEMBZIYNSAMA,
92,0,81,3000000,0,1250,0,0,0,1,1,KEB3FWXZYDPKZJ27JXZU6X4NKGRFPRT3W2ZJM2MXSHM3H64XPVEA,FFAXY76EEOWE5TG4X5TPDYWFKPOZCQUDI4ELYEHTWHJQFJDKQJXA,
93,0,71,3000000,0,1250,0,0,0,1,1,IJG46A23HI4P66YJTU2KEWY3OS5NK6CGQSF3VYS6U4OKYRV2HWJQ,QD2EA2PC65WTG4TR55E3H4CRTOA4MUTXDCBN3PKRPAR7FR3F63NQ,
94,0,53,3000000,0,1250,0,0,0,1,1,ITW3HU253LUR6WM6GO2AMFLOUP4TOGKNRD252PJFZBP5WDWRRS2A,7QRV4FCG243QUXD5ZSMBNGYFK2BORNYH7FDDVCPZVUT63MUNYQRA,
95,0,56,3000000,0,1250,0,0,0,1,1,FXEWDK3ZA6KVMLTEQNVJM4YWYL44FFRFZAL77M4P6HCVOJML7NOA,PNM36REK5OFUCBUXK5NW5KRFX3XPETUPZ4RVN2WEFBPRTFUNZPFQ,
