Model,Total System Benefit (ZAR),Gini Index,Total P2P kWh Traded,Avg. MCP (ZAR/kWh),MCP Volatility (Std. Dev.),Total Grid Imports (kWh),Total Grid Exports (kWh)
Baseline (Noisy),145.27858968720142,0.21436756336976348,48.42619656240047,1.5366498563991027,0.59367487787578,213.58569425685204,280.90085244413564
Dynamic (Strategic),148.58795792066002,0.24330685601592084,49.52931930688666,1.265388074586508,0.3471547093337933,212.48257151236587,279.80511558886235
