interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,500,0,0,0,1,1,VJDD3G4ACH4SXEWDBTJYPT6EUAMQVOH5EDSKNEQDEA4OVIKTZDBQ,R7VT655HZAWOXKWXOFIBIAXTW3MYYBQMFSUVUDEMKTH2D6XHNNKQ,
1,0,74,3000000,0,500,0,0,0,1,1,RCOFJ6NM2OHLINWCEITTDOIYZNJM3XPEIJPG5AXWIOABFYNW3ZXA,T5WKAK7C66TPT5N265JQIQC2QXTZUAQSJP7J7SP6556T2VIOX4FA,
2,0,56,3000000,0,500,0,0,0,1,1,5CUST4A2CM2HPMPMQATPVPFQNDLDJV3LT5MZQ2XXMFJQLDSE5PFA,PXO57KFDM6JPJ43VPZXQGWSRKQQIZGT7IX2UT3Y2YYSH5OVT6QPA,
3,0,43,3000000,0,500,0,0,0,1,1,JQMWEMALQY2P2S4YA4L27QXW6ZEXPX6FXTNEPAXWWYJ7X36QMJEA,NZLMNV3OCDTI2YAKRNHIRQYHDIKEJKKEXNBN7Q4XVW2UWQEMHLHQ,
4,0,66,3000000,0,500,0,0,0,1,1,LACTZT3WWDCDNVKI7DFNFZ2EMWR6YN6TZEQDQ3KPDNXLR6DXZQMQ,54233ESI2SFJSLNKGVLKGX4U237Y6BVEUFVDP526GZ7VLOTWHYPQ,
5,0,76,3000000,0,500,0,0,0,1,1,HB7SKYK2JOGTPMQRRLR4IO7BWZJ6MFUNOPRGA4KLA4RIKJXFSTSQ,54SHWWYIT4JCS7XZBPKTRO3RTKEBSLATBTWVUGEION2HFRG26HFA,
6,0,58,3000000,0,500,0,0,0,1,1,MOZSKHKHAFQKJOCYCWPFBXK2ZR4FY6QDTWQTIEHTZP5FBLPDAB5Q,276IDPUACIWXJCZ7P3PU52JIQTBUMS2ZXS5X5LM65WY35RYVPXJA,
7,0,80,3000000,0,500,0,0,0,1,1,ATNOAIVLLH7LLSS2M4RN525SQFYCZUDS446UYUOUPJ677INGYQZA,NC7EDIEL6EXMCT7GT5MZNXBPFSCLQCKNHUCDA7B3MTLMXP3B7DBQ,
8,0,57,3000000,0,500,0,0,0,1,1,D4AKUQZOBHNSGMZLFRF6TLKEP5E4DCUHKAYZQSMXLL6LGQ7BQHIQ,2YM7W3JOWWKVHDUSVJPW36MN6L7PHWXA3FT3RD5WA3JN5MZH5N7Q,
9,0,63,3000000,0,500,0,0,0,1,1,HQTT6EVWJOKGDU3NV4557F46PMBNQ6K2GM2K54A2B4SZTWYYSPWA,GSJ54KIFEWK2BOQK2J7YPZV7WXLAXDM2I2U6HHUY6OA3NZJ3YEMQ,
10,0,73,3000000,0,500,0,0,0,1,1,6BGVBCDNBKWZTJIV37LKL57ZNM3AEFJSXCASA3GXRLHCVFS647WA,IBAEYAXKSDSGUVTTKPMQPAYVIFBXGZV66NHPBS5F2Y7C2FQUORTQ,
11,0,69,3000000,0,500,0,0,0,1,1,6CO3A4EZG73MSF2THI24FAIVG5A3743HTIY7LGQPCHAEPW3WGDZA,5465WY43WG7NJCUPGCPBNGX66JNM5U3A5ZNC4RVACE5YGY4J644A,
12,0,82,3000000,0,500,0,0,0,1,1,3ZPLHI5QIPBBCB3YQ2EVWVBT33II5THLI2JZBEDAMY5AWXAPCTLA,AIBCCRB4GYJTPTQOYNVNYZC5VQMW67PRQM4IGOSJJ4DN3RXKJ6GA,
13,0,80,3000000,0,500,0,0,0,1,1,URW3LDTYVUVFAMN53WFWFLF42XGDYN6A4J6PJPTHY6E2OMYM74DQ,APAVFU3ZZYUC45POKOHGLRBKKQMIR24A7UIWATBN23775BSBG7UA,
14,0,71,3000000,0,500,0,0,0,1,1,DIOF7W7DL224VLZ56XKABPKNPGTXVLC2VQX76IFM6O7ZHAN4MCZA,BTZDV7Z7LEEKHXNKIHWVG6DSCCKK7ON52SBZBZ5PRZRPNVPKELQQ,
15,0,90,3000000,0,500,0,0,0,1,1,R7WUNYYKZZLVYODDPK3AX53S5QVNHNFA3LIRUFW5NJIWTQK2UFHA,KKAI2JGR6O7MIHKVVGHGRO25TISP6INAEGGZFTAWB2I44BXLACAQ,
16,0,80,3000000,0,500,0,0,0,1,1,74FVKA63VN5E4KOU7SGTMDW6DNMSR7FJWT6T26QIDHTZZQTCBGXQ,UYHUHPXHOO3TZU3ZZ6JJULJT3I4N32ETW5UBPSSN3H3WFRGA32MQ,
17,0,101,3000000,0,500,0,0,0,1,1,ZEN5IVEOIBXDAG3W45R477XEKEABPY66VBGGDY3ZPEKP3ZGGRWVA,33WVQ3A66SNQJS3PW5PKJHN36RKIQO6OFTJVXXNYQ7ZD5XQSKOSQ,
18,0,93,3000000,0,500,0,0,0,1,1,XDV3XWTYIOUQ56C7PK4AWUDMJTNGS3LCOVHM2YF7M2K2QJEBVOLQ,RJDE3MEQPXDLVZSMEJY7XWXOB56ZJHMQID7ZMKL4YI4J56GRUGFA,
19,0,117,3000000,0,500,0,0,0,1,1,ZDJGRYXM4I574PQQFHSGQZIDE4GV4IP5Z7Z6WG67DCQUICLNEBRQ,VRDRJLEW6SJGRURRSE2SXJB224JSQTMAHFAOBN7KJTPTU2CRSVPQ,
20,0,145,3000000,0,500,0,0,0,1,1,Z4NIQESNUXBNQA4JZT4L5X4ZBR6E3TI22LVWDV6QJFQJLWAMXVOA,IJSM7WOY75SD56VBALZBNIIDNDA6XVPM4EJWYMMGKHVB6B36KJJQ,
21,0,186,3000000,0,500,0,0,0,1,1,TQ5IU3JKDARETIZ6DCLPZ3DWMCE557SEFS4HVBF5A6BPDL2HKR6A,ZA6SKJA2WZPCMHFHB7V35Z5TNO27XKPGPKNXSHV67AJJNXUTJTLA,
22,0,233,3000000,0,500,0,0,0,1,1,JU4ZKTBQT6YBSIS77BBR75AC2P7BL7IMAQTPRQ6QI4NJF32YWFLA,G7R7KU4SHSJXWED35RZ57GMCRK3CYIQVVLA5UD6HCXM5AVUGOZGA,
23,0,294,3000000,0,500,0,0,0,1,1,WS6SALTMBP7TAMEIJTO2TB33BGX2SEV5MZPCKRZRITBOLJOCWHJQ,2XJCJBXBZDIYWQP3CNPMO3MFYDTXRW4OVZPATVFZFR6W7YJATMVQ,
24,0,367,3000000,0,500,0,0,0,1,1,RG6J3R2QEEOCVXO5OIPT57YXJM5CKXMDTIUJI2CWDJYJZ3TTHSGQ,HMSMUPPVNR36T6TMKPQIJP7IV27GT66R3M4ZUH6ZQWDOYXLZEM6Q,
25,0,427,3000000,0,500,0,0,0,1,1,6RWXPEBWFFPSPEUPYYKQMV5WMKNIH4Z4KOGMIF3G7YDH5C3FM3HA,UFT7XTACV3HUOW3BXUZ2YWYDQ64RTGIFBI7TKT62O43CWNM7YYCQ,
26,0,507,3000000,0,500,0,0,0,1,1,LCZ44DP7T5MVZVEB4VHLANWGWI77Y52KGCB7S6NEPTEJIB2V336A,QYCSX6XMC2VW6FNHHNYVBHB6A6RVJO3K2AVDKELSXYYR7ZEXWX6Q,
27,0,513,3000000,0,500,0,0,0,1,1,W2KVVYE7EU24TD5BASC5CF6UK2DQQRFWKUWPY42JPRP44UWGC3TQ,XXZWE5JHFOKNGBBUX73ITDCV5VD56PCIA33LQLT745HZMGFZJEPA,
28,0,542,3000000,0,500,0,0,0,1,1,ATJZMKJ5E5HNF546ZORRFVKHI63SIUD52SUSJPRC6ECCDGQ25Q4A,H34KJS2DC7U5EQIPNF3J4RMXZ53IU5WTBH2YRBJPMJDV5677XLZA,
