interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
24,0,367,3000000,0,125,0,0,0,1,1,RLAQYFLJYDN3GWWCCCWQ7P5VT4KJ546SVIJ3SOOC3VP44N33RMHA,HK7SDMFQZHTIAWOYACBEQINP6TTWNKRB6PSN2QPEJYC2MOPSX6HQ,
25,0,427,3000000,0,125,0,0,0,1,1,ZPQJFW6QZT6W726PBDJCH5APJBXCHMTAGYBVE2MG2JHGBE2VVHYQ,P7TDS7RVXO6YZFPATY7D7OKH3XW4TJLB2MAXPMXYXXDA4HSEAZUQ,
26,0,507,3000000,0,125,0,0,0,1,1,3LPVAE3KS3SAR2UKLUEFGIC4ZQN27FUMOAWTRTHVK4JCSBGBYHVQ,B3R5ODAKZKHZ42OAQZJ5H4VYFYGLDF4NKZCCN7DNXNH3CLDPWNAA,
27,0,513,3000000,0,125,0,0,0,1,1,BRRHB6WVERTSWBG3V7P2FE4VS46EYNQNTYXJIWWGYNG4BV4GP3HQ,RWB45WE7QLJNLFB5COAGPN44YAM7FRNBKY2DSI73ASFUATFA2C7A,
28,0,542,3000000,0,125,0,0,0,1,1,YJIPN5J4NS2JPKGHFI3OOK4YGWCKHVZSTZJSSMOIYTUWTSVUE5DA,KROYK445B3C7VT2CM5FVKEPPCMVHG3EIL475IX6LKE2ITELQU3SA,
29,0,551,3000000,0,125,0,0,0,1,1,LLXFHUMG5WI7IPE6N37JA6W6UD533L4SAL7FDNQ4AVADDNYTJ3EQ,TKVBHU4FA7BPKCGF6ACJ2GV4YDZHADAXTOUUTNCQPZTYQXLARJJQ,
30,0,481,3000000,0,125,0,0,0,1,1,B7ORAAV5R2QYHWT7XWFSRW7GHGBL7ZIOQQEGYUNHFQGZZQ2O5MOQ,ZDKXBIHSN3Q3UH7TFWMH5VJAWQ3GY5BX3K3GQ7OU5FI7MFBOQKIQ,
31,0,450,3000000,0,125,0,0,0,1,1,E7JDZ33TMYGKSXE7FC4AO5NNWIECQ5GZFTEQMCGLEOUWI23X3LYA,K2ZP56PQPCRJX2OPLNKEO3SKQRIBLPWDWA7JOSUFRQFCCW4H5KMA,
32,0,375,3000000,0,125,0,0,0,1,1,3U5SGPSJST7XNBOSJGDPE2QKQ3W462ESUTFGZJ6UGV6N6RYKFHRQ,OBEBGDJGAIP4OC2XMG2NY2OE7R6PRLC7QZEI352X5VGWVEA3ZCUA,
33,0,336,3000000,0,125,0,0,0,1,1,GYO4ZSBO4SWV3MITREB7HRGYCGGJ2FAAQOZ6CERCFI7QYFCM7MEQ,7INMQ37PY3OVCGIXFE5NPBOOFMV55DJZ64JVJBU3NPR6S6S2WQWQ,
34,0,258,3000000,0,125,0,0,0,1,1,CQSAWHGO7GLDZGJFFBJJSNND2ZBNK7PFDKNJQMGJFR6FORWVMFYQ,KLJKLJTH3E4QBMZD6UGJ5U5HL2JOVHEW7L5J2SM74HZRZO4J5NHQ,
