interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
23,0,294,3000000,0,500,0,0,0,1,1,PSSSJBYTMGVKS2RNFJGC2USE4DCJK5JHV7QLLMV77F2SEFSRAMOA,IR7G7BJQVPV7SHN65PS37G3JQ3GTT7YGZIE7D7UERXJPKOZOBGEA,
24,0,367,3000000,0,500,0,0,0,1,1,5AY7ZNZ32HCRRYXDFLFNCV56CF2C7MSVW4XXQWN5AQICPICUACPQ,VUWNAOQIAWHS6Z7IKBBHPHPTBH672LJSDGQFYOE4DQSYSUU7M56A,
25,0,427,3000000,0,500,0,0,0,1,1,AB6N5TGZME265IE7M4JGWSHGMQZP6NOXEPABNW7RQHTNMGEFVFBQ,56KZV3I3YNYZEAURKFUU6N5JSKRBL6Y7WH3TNJJMOT2FBUY4VXPA,
26,0,507,3000000,0,500,0,0,0,1,1,7DP6CYV326LPTMBUYJJ4J3J5CUMYTU3TB7Z5PGH7B3RHNDCEH2ZQ,LQA2BKUBGBL57H4RY3IHWOIY3FIDMXYBCAGUHDTNXH5NST27EA2A,
27,0,513,3000000,0,500,0,0,0,1,1,RYPSVD3QC7FSZFREMKGARYHEQ67ZUC33ABZNLSFN3BZUG65BBXVA,BYPWI3HT3NSANCC6BY3YJ5NYC5JULK3TIKEERAZUICY7VJE5WP7Q,
28,0,542,3000000,0,500,0,0,0,1,1,Q23SGUJJRLWLKTWYVQQFH3PLRZF3EWULWZDGENLHWSY4JVJ6274A,TWIQ3YQ5O544MAHPMRXUD6UTY24WK7EHU26P7MQQXKVBHYUBLAYQ,
29,0,551,3000000,0,500,0,0,0,1,1,MSB4HVCOYGEPYE4JGZGVWBPORYDBESAZS5SDEUMH2W3P7FQOBJTA,TJEQ3JWFMWC7W2F6UJNT3D5B6BSXADRPZZDMITJVQ7YFS7AZWVXQ,
30,0,481,3000000,0,500,0,0,0,1,1,C3ILPG4CHKNFMQMDH42KVEIW5BHGBWGHRFRD2ZSPYWHBXCCKPWNQ,XC76OTK5BIN5QXW5X64SAWYKQI6H3H6LY77FS4T4ARR2PIFAJ2FA,
31,0,450,3000000,0,500,0,0,0,1,1,BPIHGXZUS55C44N6XGIUBVZXOUDQXCXOXGJCO5UHPWVI7GWSC7HQ,6N3RFOBFKGDNYBSSGKEG6WDIFOVM2MGOYYAAZHKJNJOJ3NSHC2IQ,
32,0,375,3000000,0,500,0,0,0,1,1,OD3RCLYPGORJO3I37BP7YH6MGG45Z2EH6KPNAWOL7Q4E4VMAMQXQ,RDXTPR4TU5GQARI5DZUPIA2GJZLNEIHIL4NVQGH373NR5GFO3PGA,
33,0,336,3000000,0,500,0,0,0,1,1,3ZZA3KS2DS76TX5474KBJWJ5QGR6DMI4HQLCCNUAGRJH7Q3CMOFQ,KVN7H5GRMQNPVOHM6VEMDCKKVW5HG3UOKADMZ7ZLI3YFPUEF5CXA,
34,0,258,3000000,0,500,0,0,0,1,1,QAJUHMHJEE4NEWEE4T2RRIJC4XEZGGB54K7YHKQWPIBUZBNBNMWQ,IX4DSRCJJUW6ZAHH64NMU3LQYJPBWWONGHFUFWFEAFO7BUMD25ZA,
