interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
42,1240,144,1099677,144,1250,144,144,144,1,0,7PGFDWKNCXWI665KRNTS73XTL5HI2JQI6BO4JC2UOHC4BBJTBTBA,,"TransactionPool.Remember: transaction E2SUB6IMB7GTQDT5U5WDGT6C3YEFJCHNRD4C7LXUWH2VJUS5G4DA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
43,1414,140,1062869,140,1250,140,140,140,1,0,B5MYAESQ3WN43RJKCBRHAEBA7STP4PBEENORHHJTYGUOM6FO26SA,,"TransactionPool.Remember: transaction QYMZWKXZ2R2NXO7Q2TEOSVBWNM7N5XBUSNCZJJH2XQFH4YZKVDAA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
44,1565,162,1072555,162,1250,162,162,162,1,0,66CGENVOGBLOD5GA3WLQS4IDMWMQR6ST64YCTTUADW5F7RBBK5JQ,,"TransactionPool.Remember: transaction 4QNXHQS46H5PX2SPKQ5F2IPXG3L37RYAGU5IOTCU2XWPWAEZW2NA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
45,1573,152,1057754,152,1250,152,152,152,1,0,VW7QSUD4S5B7NFRRIR36DT74UG7CRNWXEP543VA55SILQILWLSXA,,"TransactionPool.Remember: transaction RRCANLGXD2NXKDYCM57GOR7LB2LIRT3572R4O67QELTXU4KJM64Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
46,1611,126,1018155,126,1250,126,126,126,1,0,2QEQHYV734OY5ALFLZISHZQUYLI4Y6UORWM56NOCN627RYRQLC3Q,,"TransactionPool.Remember: transaction KW2CLZTE7DQZBOKB7C5MA7SGNUDPVKERKIFUP7ET6R4SL64OMRVA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
47,1620,132,1025184,132,1250,132,132,132,1,0,WJWXLD6DZGGHMZ4TKYYK7WO45ZE3LUCA6EPRCZNOYBHURGOVW2ZQ,,"TransactionPool.Remember: transaction CMW4G444X7YE2Q5JLFY4PUOXUJAL3MDDIIQKLUSBINUUMGCXTLUA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
48,1622,145,1042199,145,1250,145,145,145,1,0,ZY7PKDHVUSD3XXOZ3NGLEYN3BXQ2POSJLRY6ZA2533VSPA5U7WTA,,"TransactionPool.Remember: transaction ERHQKWJZRC3DE3JUWIEG7WPKKOC7FD6LJYZXRBIPSSWK3CG6DTIA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
49,1630,149,1046533,149,1250,149,149,149,1,0,U6MCNI6XDMZQOAILFKYLIIKWP3A3YCRZ46G42N7XQUSJTXFPWUJQ,,"TransactionPool.Remember: transaction OFS33WCX3AUZBRRME7SQ4IQXOK6D54SIXQR3DSUWY4SCWOE64K2A: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
50,1621,153,1052929,153,1250,153,153,153,1,0,T6DQDB3WSGIXM4CBGR525HTGAKEE6WUALD5EERIVBUIY65HI4MVQ,,"TransactionPool.Remember: transaction OIYVHN7FAX56ELT36HG4WL6MVUDG6K2SHQK6TEIF3VKQJBUKNYFQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
51,1591,138,1036484,138,1250,138,138,138,1,0,HT2J22UQSPQK27XSUOZBVDPYPR6LDKATGKTAUMHCUJF3BNEPTZDA,,"TransactionPool.Remember: transaction 7WRLJC7NQKRFJ653R43AZA5GDAN65PVZBNAEHY2RIFI4NQTIRVBA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
