interval,seller_addr,buyer_addr,qty_u,kwh_asa_amount,payment_microzar,group_txid,ok,error
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,67ZYIG2F7HC2YGI6MGQ2DBKWQRFQHFDQGXRMLOY5FVI2RYPWG4B5PNNI7I,4,40,116499,Q4XS7LR3JRJNI7LFRLQXHTCKYCUQOIG3PFJD5XDNRTUIJMX6K4YQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,DJICF76S3ZL4WE6Y5SP5BHIU7TZLNQESF6DFTVOTGONWL6IFZQHJ4QUAVE,5,50,145624,L7LB5MGSNOOJGNVXVWLNQQF4VSQED3MRYQFUV55T5C4KXFI3SWVA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,GQJ3IAAXUPNJ6ROBA2JQ72F3S2AGYCMURC5JZEI5CNXFISTOLPEJHGN3B4,5,50,145624,WEDQFVLEHFCTEXZAKGJKCE435E6SREZ4NHBRVVS6ZVRQY4KRHYYA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,GWEQXNXLSQCB6AWLXCU54BNSCTWK3UK574CLEWBFQUT65HCLO5DMT6YEGQ,6,60,174749,BJOOEKAMQ4M33HIMKYOCZ6AWCPT2DMXEEJUOVQ5FODCKZI6RFHEQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,HYJNPKD5XXIW6HOVGVWBLKYQB5GQKQALZRJHNPESDZ5SQIEDJAEJU27TOU,5,50,145624,4BXQNI4PR2JM4DUA6SKC7NYUMNEBYLUNZTDXGLHPCURVYOICHAEQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,JZG57OVKRVEJSFTJLM5IY5JZJCJLGX64TXQCVQLBLPR3ZWXAARNUKFE244,6,60,174749,VWNXOCP3EEKSDOTJBIB32PK3IYLRR4DEHRV4WUWCVIG73FAEDCUQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,MKEDDM3XHF3AW2AEQ27B3DWTXLHICSZVLVQNKGRT43HD5UXSAYFOXYGNLY,5,50,145624,NAXY52SGNJBVDHH23AERX2AVLYA3VAU6QYOHLAVQIASCWCWHRXZQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,OSM4FVXIZ7QCJOUN53IO5JLFINVISJGVXP2SK674HMG6MVFSWWOBRJXJWQ,7,70,203874,2677DN5HVTFQGZXNAN7C3OEWSX3QDDYJTIMKUMUEVAVOBULNXM2A,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,RJ7UTWVITJTT6EAJ2V55YTMFCC6UFZCMDAXEO5TGWZJ43XAGSTWDTEUIAA,2,20,58249,CCOFRZFHPPW226SII33SXKIACYDXPJ6743IWQRG5MNXVKYTB4TOA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,RSPV6P6XJMIZUF4K26B5GSIRCC33K5Z23RNVTM4FVJNHEKIHQK63AN7GJQ,4,40,116499,HAWG5P6XUOFB2MRVEZINEREX4J4IY5SECGNMBZQAKNLMOMWN3VAA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,TYEM5GOH5TO7IKBUMY2RIHTYON3ZECACQ7GUWX3YSWIVVBMYPYPMWZQDLA,3,30,87374,2FYD7ER3TTLHLQG7BEZWN3GJGIU43PWYTH7MSBGDOA74YD62AARA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,XCH3Q7QFM72YZIAXMY5OT4265Q4LONZ756UZCUHL5S4ZIX7NILDHWC7ZHU,5,50,145624,K5MFAIZ26QJO32TDOQLOMJN7VKTV2NN2Q7GZ3I2JK5UBJEBMENKQ,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,YBKDXSGKLFNDU2RYZY73L4NAMTUPQBVFGZVBJKAXAI7JVUSSNWKISKMXFI,2,20,58249,J7SUXMJEYEVZX2WYM6W74IUMYPGYILJF7X2ZUFBSRKAXX6276J6Q,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,ZOHS42RCMLIYQTJ4QVTD5VAFWDRZAHRET2ZAAEXMN6EPXMKDBBJEOUICKE,2,20,58249,C5AHSDAFX432FRJGRQJFILCTXIDTR3YTMYRO4FPNAJNTO723X3PA,1,
38,3JKEVUMZL6R6Z2T5HKGTZTWXKRAHUZSRS7BR3NR37LNWDMOAQ6D7PTV6CI,ZUWWQX74E43WTEEQMGQECIMOKQAJSSQYK2GCGKKCPIBBC2R3UHDVPQFOIU,5,50,145624,7V4A2QWP3BBXRA7VU72NUQOL2VT2TYJWYJAAADBWRP7CVHU5YMNA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,67ZYIG2F7HC2YGI6MGQ2DBKWQRFQHFDQGXRMLOY5FVI2RYPWG4B5PNNI7I,4,40,116499,ABVB3U3T2QE6MMIAFJHK5PYAZWSJDY46NC4BF3Q4R24KLY5ZFPSA,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,DJICF76S3ZL4WE6Y5SP5BHIU7TZLNQESF6DFTVOTGONWL6IFZQHJ4QUAVE,5,50,145624,LXKTH6DINWTVE7LQGTUXCJSLCVTG6WBMN52C3MFJFTSNRXLTCKLQ,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,GQJ3IAAXUPNJ6ROBA2JQ72F3S2AGYCMURC5JZEI5CNXFISTOLPEJHGN3B4,5,50,145624,3HS2CWCTEC3AUHI3UTVY4XIOIYVN2D2GRCBILPKS54WQ2KGM5K5Q,1,
38,CS43HEW2EWF4GEAQHK4BFBC5FNJAKASRLSTF7WVGTNOACXSG5ZLAI3YW24,GWEQXNXLSQCB6AWLXCU54BNSCTWK3UK574CLEWBFQUT65HCLO5DMT6YEGQ,5,50,145624,RCQQ7QLHVDRP6UREQI63MIUBF44P2AIN36WD4ANC725Q3UV7OOJA,1,
