interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,50,0,0,0,1,1,QCD34Q7T2TH5N5Z2MHEWU4ZGGBPMESKOYNZUU7V63ALLGQ37PZLA,F56QDTSAWWCFTHJHPG5ZI5XBC3HDK72FMB46ATSGWGMYD2POIZWA,
1,0,74,3000000,0,50,0,0,0,1,1,5CTTBFPDFZ2A3OMW3AIGT2SSBAYDP5C72NSSVYBST3LUUPSURRSA,7VTZ2BHM2KRTUFSTXI6EH34GFO6VFACBVAFSHASJSLHVAZQECUYQ,
2,0,56,3000000,0,50,0,0,0,1,1,GN7CNWZ53FHW6B423HI34RMJZKAYSIVLKVN32MCT7G3YXLWACAPQ,VWXALULDBF4IPDERLOW7GL2NFCIDBVLAMS7V2QAQHVLL5GGPZHYA,
3,0,43,3000000,0,50,0,0,0,1,1,XHRCOSQJWDMCN3AOISBGUUGIYTGKYHZO3HQO7FPCBVJJJGYJNVFQ,3ET4OGVSCNSWJOQRUT3IGFL42HJFQM3CTJQCDKA5Q75DNP76BFAQ,
4,0,66,3000000,0,50,0,0,0,1,1,A26O7HPDDEC7MXAF3SWM2P4NPNQPQYQKZEXJU73JKFXJ7WNH2PSA,ZQMMPCLNPY77YL7GQ7EJPVFJRVIU7FQPUGFELOBXDHHCKU6RAZ3Q,
5,0,76,3000000,0,50,0,0,0,1,1,S5NBLYO7JORDTOPNOEMB6YAJSXAY6RNX5Z7ISPNLNNMI4IAGM4FQ,ROG6PQKAWSQBKEBT6JIZNRDR3R7K6KUAFAG22OTJOHPE6URYYUGQ,
6,0,58,3000000,0,50,0,0,0,1,1,YJ2RZQSGF3WCDUKNT3QODLPMRBRG6JGYPGC4FAA4CSAAZAXZGQNA,4LRWKFL4D7TP52WWNHYJTW6E4AZH47T4KLOYNAP3O3BAQGJ7DEZA,
7,0,80,3000000,0,50,0,0,0,1,1,TDKKC6MSW353HTBVNXVSEZKRW2LPSGZCZFZ3PIY3WOELLWMLLDRA,LTBPW4QHJIF4JWDMZRG5XBZLCBC7GLF2MWXUCTFW2FKUITD3GHJA,
8,0,57,3000000,0,50,0,0,0,1,1,RYPYHA7G2UVEBBXJ7JYLNVQF2H3TQHNRQBCGWJAQEXNFAKJZJ54A,A2EMG4T6PBDHW7GBC7LSCGQEVBVANCUOLWOD7Z43EPSHFJHXBCAA,
9,0,63,3000000,0,50,0,0,0,1,1,NVJDLHFSA4SXWJQZKVN55NEN77HDLFULAZ5ONR6WH6ZKRTFKL3GA,VX6QGDYCFCWQCZ4GDZEYSN7TOPUBHMGGSUZDPU4IRJC4HOS5AZFQ,
