interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
42,1240,144,1099677,125,125,144,144,125,1,0,E4LQLC766XSFNDTZHDBX2EPLQVBHQJ2EOK3CYZXV44ERYL6JMFKA,,"TransactionPool.Remember: transaction 4JKZ56NSOMTRYW264XSK57XIEMNFJ5NR4FQVB3GJYZXBMC2LUDXA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
43,1414,140,1062869,125,125,140,140,125,1,0,5QX44NE2DLTNBAVDFFULMBEDWZJK766BNAWSPLOZ3RUPCUF3WP6Q,,"TransactionPool.Remember: transaction XRILZ5KYWWSLDMTULYFHLTLJHOM7UPH34BPJIDTSZH2PX2I4LY2A: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
44,1565,162,1072555,125,125,162,162,125,1,0,NMW2K3F7EWPIXPV4TBQ4ITDI44P3JGXEYRHDBYQIUESKO3N2OYKQ,,"TransactionPool.Remember: transaction M3LOY4UFHGBGWQAQ4LKUBOZKT2PCISK22WJTBX2MLKGEDIQJ5D4Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
45,1573,152,1057754,125,125,152,152,125,1,0,JYOMEOP6INB5GPJQAZ67KFVXLC6ZZUDAV45YVAYWMK6WJKFLI7HA,,"TransactionPool.Remember: transaction JQYZ7RCE4T26BGVCOUCMJCKF5YAUDFVHCD4ZCDRFXAMLKBMF72XQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
46,1611,126,1018155,125,125,126,126,125,1,0,DQFXAQ6S6IMPVQL6WC6KH4ZTMXE5FXANU7RSRROA4XPDLOG4L7UQ,,"TransactionPool.Remember: transaction DZNY54XRIVNVABC67YUSMN32XGEO4M6HUTS4M6FWLAP4SVSCHF7Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
47,1620,132,1025184,125,125,132,132,125,1,0,NNTKRG6SR4GA7XVR3ZB4PGXPKCEQUX67WECHDICXF4OZB4J4GOHA,,"TransactionPool.Remember: transaction HZKVTDSJD3UWOSCNFUPO4WPSAHQUCNTD65Q2T7MU7FQJPJFPPBGQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
48,1622,145,1042199,125,125,145,145,125,1,0,4BVIDYL6QWD7J2VPMS7VF6U6OSL4WKAHZPRKKDKJL3GLZYG7MTFA,,"TransactionPool.Remember: transaction P6ASXVQ6ZDQJCNFZI7MTRJRK23X7GXYIGX47HRUYH3P2Z6XEEDYA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
49,1630,149,1046533,125,125,149,149,125,1,0,W2NMQR475GFR23DQQ77D3PAW4H6DLURIW6E64XXN5KNVLY2G5NKQ,,"TransactionPool.Remember: transaction PPZURHJZWNTSDW4B77RMJXBNAHFK5UT4DRW4TZY6MDPYIT5COTNQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
50,1621,153,1052929,125,125,153,153,125,1,0,YWRKXCZVI43RRZTDPRWGVOBZWPGPPHRJ5ILJ4FHPCX63HO7VQQ7Q,,"TransactionPool.Remember: transaction OSVBNRPN4QJTXWDVGSXB2TGZXPJIOBVW4C7LCA5LIMX5E3XRTXYA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
51,1591,138,1036484,125,125,138,138,125,1,0,HJXUMA2WEQYPRAHTPKTGEXAKX4BXTP7BLYH3QESZY6LE5TGZ3CCQ,,"TransactionPool.Remember: transaction EFWTEAYCYF7SMMEWPH6CAUJNB467DWT3ZZ5RNCD5ZXLMWLECRHKQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
