interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
0,0,66,3000000,0,500,0,0,0,1,1,4YLQWN6Y7CK72VB2FSJC2YPITEVA2E5EJOE23K5TSRFFEU2FS2FQ,2GSEJKCDGJP2LKQ2RVPFYYDNP2IXUT6I64FBEH66MZRPISPGELIA,
1,0,74,3000000,0,500,0,0,0,1,1,I2GJWARYBVTCFUNYC65AGMGULOK7IHDCSSNQAUO44DUXOJX5F7HA,44C5RHV52QIIA6UEPEIIKECLDPDVAQ343HMZVD4ECQGK5RH2D2TA,
2,0,56,3000000,0,500,0,0,0,1,1,B6WMTNMU66PIVPXKQW3JC2AVRR6ACBU4VILXUVNAL55IXAEKK77Q,PIMCF5PEYYAGC2D52DQCAF3DNBAXGLQSYYZF4AEKQ2WHU3RBJIOA,
3,0,43,3000000,0,500,0,0,0,1,1,SX6C73AWIKG645RLCLD2XVT7OX25U6KRJNSKQFSQYZRC3ZBGT6RA,W3HBSDJSVFG66UPSVDD5HF6QZCKEE6RKN4DOXZKHKSQMUUHEBQXQ,
4,0,66,3000000,0,500,0,0,0,1,1,V42IIEG73NUKHZ6DBNPX5ZCXBU4DHDX42GU7SHISS5UCLVCK52LQ,N55ZADRPGWYMM2KZVZNMJSWLVOKEWYJMSEUVECGSRERDNZT34DZQ,
5,0,76,3000000,0,500,0,0,0,1,1,4Z7RAIOA2LIQQUP2KEON3XTW3XW3JRSFTJL6G3WJHXJMNLWXK5GA,GPRNPZUZBBW35ZKLW5Q4AWJC4LWZBUOP4JW6MKLCFT4JIEM73PNQ,
6,0,58,3000000,0,500,0,0,0,1,1,56KYFELME7KNEEVRCO7UDYH5GBPAQD4IHGY5LQ7XPHLVGKP4QCLA,D3Y3J7FKEM3J6XQY2H3SBPEG4UA6TFEP2JAXI7B36C7NOTXDI5MA,
7,0,80,3000000,0,500,0,0,0,1,1,W4O6NCH2I5BP43DJ7B5PBST7YHF6VVCJYFBSSWAXBP5KTNXTKIOA,YLK2ZCQCRTOJB3TE7W4XNXJCA7PY6KS5GXIREER7763DE24MPBNA,
8,0,57,3000000,0,500,0,0,0,1,1,LS5K6IMADQGKXCWX7GZ2FMP7EGG6RT6LFZL7YXY2OIJQ7SCTCQPA,JWGFTXSLI7DXL6X6CBRQ3ADTOB6A7EC5RP3MHNXZ3542IH7KV26A,
9,0,63,3000000,0,500,0,0,0,1,1,T3T4SPFRAQVDRWJWJBH4NBY57ZER2DEVR7FXZ2Z4E5QK6QRZJ2PA,E7JNNPNBGX2LUBCRBG2AJK5VJQQ7R43XAAFO77RWCY6SCGWHDUHA,
10,0,73,3000000,0,500,0,0,0,1,1,KG4NQ63OMILPXLESCKAFLXHTGTZ2DKUH6GTDC7KCKNTNU7H6KS7Q,4AZPEHUP7J5HV4REIY6XX65WK7IZDI6W2AOU5Z37ZHBG62FUNOLA,
11,0,69,3000000,0,500,0,0,0,1,1,BY3BWUPMEVSZIJAAX2J3QL64BV5QF3MLJMP77DBULSSLJHLQFVCA,H77MANKEBKRKE5WHODEXJWZEPDRCOUBF5A7QIQIMHRFT6CHVAIHQ,
12,0,82,3000000,0,500,0,0,0,1,1,WUAYG6AQQZJOBGA2HH3AXE43QW4N52MSUHAXUKHF26ZXM3GA6LEQ,U7SYGLV2W5Z7YSXPJESBYD3LRW2G7WLIGCYAQ52VRV4BNTTQDTPQ,
13,0,80,3000000,0,500,0,0,0,1,1,T3ZGGLRAXN4FU3QANMQ4UCAZHR5ZBRRBHYY75VL36CPJHB6ZB7SA,2FQGYSCH6A6PC6EGGBJNZEPBMQYQVTUQPXSYW7KS3MN2YGTMZRJA,
14,0,71,3000000,0,500,0,0,0,1,1,H2F5PUFMT6SQXGTHFZNOROFXGJ3KLTD6NWTOWLD4MYOIKBNP7ZBA,BY6IMLHSIR7YFS3HKCM2I6JH4GLQWRRSMYB6XLGOQIYFKSP76MGA,
15,0,90,3000000,0,500,0,0,0,1,1,X7H2JNRL6HD4SRHZVEVNVURPA6C2JTR65VMI46KF27RZQIEKN4BQ,G5TQWME4MGOXIFR6ICNYTT4WUELDYSFFJ4PLQSQ2XGZ4WWQIJK6Q,
16,0,80,3000000,0,500,0,0,0,1,1,4J5F6XS5KLYOVSFIJIB45UWMCJSXQ3OTVCMYIFHXZNTLOC26FFPQ,GY7WVQGCXJ46I6PA5F23H2BVBA5DYM76VBBE4MAUM7UI7IIJQRRQ,
17,0,101,3000000,0,500,0,0,0,1,1,UNJZKHVOUOOU75BZZCX3S5B5TCXZNLEGIJ4UPJNFSLVUECQ7KDRQ,MKTVCSGND23NVHSF6A3F32PO4FLSEBMNW7KD4GKPWRA256KEFHRA,
18,0,93,3000000,0,500,0,0,0,1,1,LEKTTKZ5XFOAFEFLUGAY7CZ2NNO7M7RY6PKP2HLJWBTC5PEE75YA,DUW4MOHJWWWXJJUI33I3WCMO7VA3IVR2AITNYW5DWWTJ7XPNSV5A,
19,0,117,3000000,0,500,0,0,0,1,1,C23FF65OAGRHH42ZA72KVQIGZDUIVPQ2KDD2D22CYQLLXIORYHEQ,BZPIZ2T4DBGQPN2DL53IHLT4JZYKD7HGW6PVZLEA762IK7F4RW2Q,
20,0,145,3000000,0,500,0,0,0,1,1,J2AMJTSRUPTKPU5WEOSFRNWM4ZDNYKGGU7J6XCSZQKXJZI7JJI3Q,QLQHCBHJRWJZQTQSLDBN4H2KZGNDT6QXJFH2L3ZAP4SZUPVMDRWQ,
